infrastructure,dataset_size,HISAT2,STAR,Salmon,kallisto
kubernetes-cluster,0.35,205.5,346.0,68.5,
kubernetes-cluster,1.3,539.5,2394.5,231.0,
kubernetes-cluster,3.5,,2421.0,617.0,1423.0
kubernetes-cluster,4.8,1560.0,19291.0,644.0,1651.5
kubernetes-cluster,13.0,7035.0,15268.5,2386.0,5024.0
kubernetes-cluster,48.0,23050.0,32300.0,6668.5,14867.0
redwood,0.35,111.5,138.0,25.0,81.0
redwood,1.3,307.0,699.0,79.0,251.0
redwood,3.5,177.0,330.0,25.35,257.0
redwood,4.8,1009.5,5482.5,242.0,741.5
redwood,13.0,671.0,1812.0,74.0,881.0
redwood,48.0,2219.0,14180.0,464.0,2868.0
