,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,task_id,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,env,workdir,wf_version,dataset_size,run_number,infrastructure,aligner,hostname
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,40/0acba1,1249060,rnaseq:fastp,-,rnaseq:fastp (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:28:24.153,2022-10-20 10:28:24.235,2022-10-20 10:30:08.531,1m 44s,1m 44s,-,406.9%,0.2%,672.7 MB,1.3 GB,672.7 MB,1.3 GB,1.5 GB,1.5 GB,193359,2275,1.4 GB,1.5 GB,72,523,-,/buffer/ag_abi/bosses/work-small-1/40/0acba16a20183d74d53c60bba63d94,RS1,small,1,redwood,kallisto,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,69/0c3f9f,1249071,rnaseq:check_strandedness,-,rnaseq:check_strandedness (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:28:24.167,2022-10-20 10:28:24.238,2022-10-20 10:30:20.639,1m 56s,1m 56s,-,96.7%,0.7%,2.4 GB,3.5 GB,2.4 GB,3.7 GB,2.4 GB,994.2 MB,178636,155911,293 MB,833.7 MB,20603,5734,-,/buffer/ag_abi/bosses/work-small-1/69/0c3f9fb38f4078c7db2fd8cdd89c4a,RS1,small,1,redwood,kallisto,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0f/5ac18d,1249053,rnaseq:kallisto_index,-,rnaseq:kallisto_index,COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:28:24.125,2022-10-20 10:28:24.231,2022-10-20 10:34:58.575,6m 34s,6m 34s,-,93.2%,1.0%,3.6 GB,4.7 GB,4.7 GB,4.7 GB,140.1 MB,2.5 GB,9248,322466,141 MB,2.5 GB,69254,31673,-,/buffer/ag_abi/bosses/work-small-1/0f/5ac18df850bbd8aa1e79e29c37c981,RS1,small,1,redwood,kallisto,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,f9/d51038,1258941,rnaseq:kallisto_map,-,rnaseq:kallisto_map (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:34:58.671,2022-10-20 10:34:58.775,2022-10-20 10:39:15.959,4m 17s,4m 17s,-,453.8%,1.0%,3.5 GB,3.9 GB,3.5 GB,3.9 GB,9.9 GB,2.9 GB,978562,26920,0,2.9 GB,91828,1889,STRANDNESS=firststrand,,RS1,small,1,redwood,kallisto,
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,a8/72e368,1595910,rnaseq:fastp,-,rnaseq:fastp (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-24 16:31:08.647,2022-10-24 16:31:08.665,2022-10-24 16:32:39.545,1m 31s,1m 31s,-,440.4%,0.2%,717 MB,1.3 GB,718.4 MB,1.3 GB,1.5 GB,1.5 GB,193359,2275,1.4 GB,1.5 GB,110,610,-,/buffer/ag_abi/bosses/work-small-2/a8/72e368e3b3ce16534181561e0aac79,RS1,small,2,redwood,kallisto,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,d8/2b03e1,1595921,rnaseq:check_strandedness,-,rnaseq:check_strandedness (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-24 16:31:08.661,2022-10-24 16:31:08.759,2022-10-24 16:32:53.410,1m 45s,1m 45s,-,101.6%,0.5%,1.7 GB,3.5 GB,2.4 GB,3.7 GB,2.4 GB,994.2 MB,181399,155911,246.9 MB,833.7 MB,14719,5244,-,/buffer/ag_abi/bosses/work-small-2/d8/2b03e1369891fb6c2256dd45561463,RS1,small,2,redwood,kallisto,
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,96/d9ba92,1595904,rnaseq:kallisto_index,-,rnaseq:kallisto_index,COMPLETED,0,-,-,1,-,-,-,1,2022-10-24 16:31:08.622,2022-10-24 16:31:08.660,2022-10-24 16:36:41.499,5m 33s,5m 33s,-,91.8%,1.3%,4.7 GB,4.7 GB,4.7 GB,4.7 GB,140.1 MB,2.5 GB,9248,322466,141 MB,2.5 GB,74918,26454,-,/buffer/ag_abi/bosses/work-small-2/96/d9ba92809ea5f199e28991d5d3699e,RS1,small,2,redwood,kallisto,
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4,6a/25e233,1604811,rnaseq:kallisto_map,-,rnaseq:kallisto_map (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-24 16:36:41.626,2022-10-24 16:36:41.698,2022-10-24 16:40:58.495,4m 17s,4m 17s,-,455.5%,1.0%,3.5 GB,3.9 GB,3.5 GB,3.9 GB,9.9 GB,2.9 GB,983887,26921,0,2.9 GB,90198,1860,STRANDNESS=firststrand,,RS1,small,2,redwood,kallisto,
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3,83/c2ac24,3764920,rnaseq:fastp,-,rnaseq:fastp (1),COMPLETED,0,-,-,1,-,-,-,1,2023-03-04 20:57:47.726,2023-03-04 20:57:47.799,2023-03-04 20:59:20.294,1m 33s,1m 32s,-,445.7%,0.2%,676.7 MB,1.3 GB,677 MB,1.3 GB,1.5 GB,1.5 GB,193359,2275,1.4 GB,1.5 GB,7451,674,-,/buffer/ag_abi/bosses/work-small-3/83/c2ac2463cf79a2fce4ac22dae58a72,RS1,small,3,redwood,kallisto,
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,d0/5ca57f,3764940,rnaseq:check_strandedness,-,rnaseq:check_strandedness (1),COMPLETED,0,-,-,1,-,-,-,1,2023-03-04 20:57:47.748,2023-03-04 20:57:47.803,2023-03-04 21:00:10.323,2m 23s,2m 22s,-,101.9%,0.5%,1.7 GB,3 GB,2.4 GB,3.7 GB,2.4 GB,994.2 MB,180028,155911,7.2 MB,833.7 MB,19766,8772,-,/buffer/ag_abi/bosses/work-small-3/d0/5ca57f9566a2121390f7b17580b6f7,RS1,small,3,redwood,kallisto,
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,27/88ee4a,3764906,rnaseq:kallisto_index,-,rnaseq:kallisto_index,COMPLETED,0,-,-,1,-,-,-,1,2023-03-04 20:57:47.644,2023-03-04 20:57:47.791,2023-03-04 21:05:58.928,8m 11s,8m 11s,-,94.6%,1.0%,3.6 GB,3.6 GB,4.7 GB,4.7 GB,140.1 MB,2.5 GB,9248,322466,50 MB,2.5 GB,66823,40023,-,/buffer/ag_abi/bosses/work-small-3/27/88ee4af0eeaea3e35c19de951f143e,RS1,small,3,redwood,kallisto,
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,4,00/ed11f0,3776253,rnaseq:kallisto_map,-,rnaseq:kallisto_map (1),COMPLETED,0,-,-,1,-,-,-,1,2023-03-04 21:05:59.011,2023-03-04 21:05:59.027,2023-03-04 21:10:19.772,4m 21s,4m 21s,-,456.7%,1.0%,3.5 GB,3.9 GB,3.5 GB,3.9 GB,9.9 GB,2.9 GB,974188,26920,0,2.9 GB,95251,2121,STRANDNESS=firststrand,,RS1,small,3,redwood,kallisto,
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2,47/bd9112,1262494,rnaseq:check_strandedness,-,rnaseq:check_strandedness (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:50:17.411,2022-10-20 10:50:17.533,2022-10-20 10:52:30.410,2m 13s,2m 13s,-,97.2%,0.7%,2.4 GB,3.5 GB,2.4 GB,3.7 GB,2.6 GB,1.1 GB,190858,161935,247.9 MB,891.9 MB,13093,6039,-,/buffer/ag_abi/bosses/work-medium-1/47/bd91120b9e0b1c048da31f76c3e933,RS1,medium,1,redwood,kallisto,
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3,d5/3c754a,1262492,rnaseq:fastp,-,rnaseq:fastp (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:50:17.395,2022-10-20 10:50:17.530,2022-10-20 10:55:48.694,5m 31s,5m 29s,-,453.5%,0.3%,1.1 GB,1.4 GB,1.1 GB,1.4 GB,5.7 GB,5.7 GB,747924,6566,5.7 GB,5.7 GB,9099,1641,-,/buffer/ag_abi/bosses/work-medium-1/d5/3c754a3ec253800cccaa4f531a3483,RS1,medium,1,redwood,kallisto,
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1,68/8fc9cc,1262490,rnaseq:kallisto_index,-,rnaseq:kallisto_index,COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:50:17.373,2022-10-20 10:50:17.523,2022-10-20 10:56:12.369,5m 55s,5m 55s,-,92.6%,1.3%,4.7 GB,4.7 GB,4.7 GB,4.7 GB,140.1 MB,2.5 GB,9248,322466,141 MB,2.5 GB,75932,28112,-,/buffer/ag_abi/bosses/work-medium-1/68/8fc9cc959621b64582baa801e92201,RS1,medium,1,redwood,kallisto,
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,4,62/7931e8,1274681,rnaseq:kallisto_map,-,rnaseq:kallisto_map (1),COMPLETED,0,-,-,1,-,-,-,1,2022-10-20 10:56:12.460,2022-10-20 10:56:12.468,2022-10-20 11:10:49.629,14m 37s,14m 37s,-,487.4%,1.0%,3.5 GB,3.9 GB,3.5 GB,3.9 GB,29 GB,10.7 GB,2697235,72079,0,10.7 GB,263886,3407,STRANDNESS=secondstrand,,RS1,medium,1,redwood,kallisto,
